timestamp,src_ip,dst_ip,src_port,dst_port,protocol,packet_size2026-06-12 09:55:40.513629,192.168.1.4,52.168.112.67,63433,443,TCP,66
2026-06-12 09:55:40.535878,52.168.112.67,192.168.1.4,443,63432,TCP,1498
2026-06-12 09:55:40.538140,52.168.112.67,192.168.1.4,443,63432,TCP,1498
2026-06-12 09:55:40.539460,192.168.1.4,52.168.112.67,63432,443,TCP,54
2026-06-12 09:55:40.541151,52.168.112.67,192.168.1.4,443,63432,TCP,1498
2026-06-12 09:55:40.542694,52.168.112.67,192.168.1.4,443,63432,TCP,1498
2026-06-12 09:55:40.544078,192.168.1.4,52.168.112.67,63432,443,TCP,54
2026-06-12 09:55:40.545986,52.168.112.67,192.168.1.4,443,63432,TCP,915
2026-06-12 09:55:40.547652,192.168.1.4,52.168.112.67,63432,443,TCP,1494
2026-06-12 09:55:40.549312,192.168.1.4,52.168.112.67,63432,443,TCP,1494
2026-06-12 09:55:40.551114,192.168.1.4,52.168.112.67,63432,443,TCP,1494
2026-06-12 09:55:40.552795,192.168.1.4,52.168.112.67,63432,443,TCP,554
2026-06-12 09:55:40.689271,13.89.179.8,192.168.1.4,443,63340,TCP,153
2026-06-12 09:55:40.690849,13.89.179.8,192.168.1.4,443,63340,TCP,60
2026-06-12 09:55:40.692221,192.168.1.4,13.89.179.8,63340,443,TCP,89
2026-06-12 09:55:40.774849,52.168.112.67,192.168.1.4,443,63433,TCP,66
2026-06-12 09:55:40.776473,192.168.1.4,52.168.112.67,63433,443,TCP,54
2026-06-12 09:55:40.778289,192.168.1.4,52.168.112.67,63433,443,TCP,571
2026-06-12 09:55:40.801693,52.168.112.67,192.168.1.4,443,63432,TCP,157
2026-06-12 09:55:40.803414,52.168.112.67,192.168.1.4,443,63432,TCP,60
2026-06-12 09:55:40.805360,52.168.112.67,192.168.1.4,443,63432,TCP,518
2026-06-12 09:55:40.806854,13.89.179.8,192.168.1.4,443,63340,TCP,60
2026-06-12 09:55:40.808611,192.168.1.4,52.168.112.67,63432,443,TCP,54
2026-06-12 09:55:40.810188,192.168.1.4,52.168.112.67,63432,443,TCP,78
2026-06-12 09:55:40.811407,192.168.1.4,52.168.112.67,63432,443,TCP,54
2026-06-12 09:55:40.997477,13.89.179.8,192.168.1.4,443,63340,TCP,153
2026-06-12 09:55:41.035234,52.168.112.67,192.168.1.4,443,63433,TCP,153
2026-06-12 09:55:41.037000,192.168.1.4,52.168.112.67,63433,443,TCP,491
2026-06-12 09:55:41.038501,192.168.1.4,13.89.179.8,63340,443,TCP,54
2026-06-12 09:55:41.055312,52.168.112.67,192.168.1.4,443,63432,TCP,54
2026-06-12 09:55:41.407498,52.168.112.67,192.168.1.4,443,63433,TCP,1498
2026-06-12 09:55:41.408926,52.168.112.67,192.168.1.4,443,63433,TCP,1498
2026-06-12 09:55:41.410613,192.168.1.4,52.168.112.67,63433,443,TCP,54
2026-06-12 09:55:41.413452,52.168.112.67,192.168.1.4,443,63433,TCP,1498
2026-06-12 09:55:41.416768,52.168.112.67,192.168.1.4,443,63433,TCP,1498
2026-06-12 09:55:41.419303,192.168.1.4,52.168.112.67,63433,443,TCP,54
2026-06-12 09:55:41.422662,52.168.112.67,192.168.1.4,443,63433,TCP,915
2026-06-12 09:55:41.425785,192.168.1.4,52.168.112.67,63433,443,TCP,1494
2026-06-12 09:55:41.428300,192.168.1.4,52.168.112.67,63433,443,TCP,998
2026-06-12 09:55:41.715463,52.168.112.67,192.168.1.4,443,63433,TCP,157
2026-06-12 09:55:41.717629,52.168.112.67,192.168.1.4,443,63433,TCP,519
2026-06-12 09:55:41.722330,192.168.1.4,52.168.112.67,63433,443,TCP,54
2026-06-12 09:55:41.724066,192.168.1.4,52.168.112.67,63433,443,TCP,78
2026-06-12 09:55:41.725550,192.168.1.4,52.168.112.67,63433,443,TCP,54
2026-06-12 09:55:42.020086,52.168.112.67,192.168.1.4,443,63433,TCP,54
2026-06-12 09:55:42.021316,52.168.112.67,192.168.1.4,443,63433,TCP,54
2026-06-12 09:55:42.690497,192.168.1.4,13.89.179.8,63340,443,TCP,172
